songs,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
I'm So Proud,The Main Ingredient,0.608,0.121,11,-17.321,1,0.0359,0.966,0.466,0.0746,0.288,86.704
What's The Use Of Breaking Up,Jerry Butler,0.722,0.372,9,-10.042,1,0.0539,0.125,0,0.133,0.649,116.389
Good Times,Tommy Lee,0.697,0.761,11,-7.647,0,0.302,0.157,0,0.789,0.666,81.728
Jole Blon,Gary 'US' Bonds,0.502,0.931,0,-6.099,1,0.035,0.0311,0,0.427,0.966,131.286
Rock-A-Hula Baby,Elvis Presley,0.528,0.645,10,-8.695,1,0.0635,0.804,0,0.0935,0.884,94.257
Who's Johnny,El DeBarge,0.675,0.704,0,-11.552,0,0.048,0.284,0.00273,0.104,0.802,110.675
Inside Love,George Benson,0.408,0.505,2,-13.733,1,0.212,0.261,0,0.165,0.637,180.441
I Knew It All The Time,The Dave Clark Five,0.478,0.995,6,-4.221,0,0.152,0.000145,0,0.127,0.342,175.953
Lost Soul,Bruce Hornsby ,0.649,0.347,1,-7.67,0,0.404,0.485,3.24e-05,0.154,0.176,169.994
Affair Of The Heart,Rick Springfield,0.636,0.907,9,-5.96,0,0.0429,0.135,1.16e-06,0.0989,0.465,129.063
It's All About U,SWV,0.838,0.401,0,-9.808,1,0.0506,0.111,0.00811,0.0478,0.74,93.49
Hope,Twista Featuring Faith Evans,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04
Whats Happnin!,Ying Yang Twins Featuring Trick Daddy,0.828,0.672,6,-6.456,1,0.0543,0.0988,0,0.391,0.776,107.996
Jump Back,Rufus Thomas,0.627,0.521,8,-9.349,1,0.452,0.0537,0,0.0996,0.0369,171.859
Tattoo,Jordin Sparks,0.333,0.457,9,-7.295,1,0.0307,0.241,0.0399,0.16,0.279,172.143
Animal I Have Become,Three Days Grace,0.553,0.853,8,-3.668,1,0.0339,0.000684,0,0.126,0.506,122.023
Why Is The Wine Sweeter (On The Other Side),Eddie Floyd,0.717,0.391,11,-11.843,0,0.0393,0.153,0.000269,0.196,0.728,95.56
Something Like That,Tim McGraw,0.507,0.85,5,-5.679,1,0.0472,0.378,0,0.0567,0.847,171.8
Free As A Bird,The Beatles,0.684,0.228,1,-16.305,0,0.0361,0.947,0.944,0.134,0.151,80.996
Almost In Love,Elvis Presley,0.453,0.66,4,-6.305,0,0.0643,0.661,9.34e-06,0.0921,0.357,81.268
Quality Time,Hi-Five,0.7,0.0657,4,-20.871,0,0.0308,0.954,0.932,0.0941,0.115,93.987
Happy People,The Temptations,0.583,0.759,7,-7.03,1,0.0442,0.0032,0.0343,0.0936,0.215,103.021
Pork And Beans,Weezer,0.599,0.624,6,-6.622,1,0.0339,0.0109,8.06e-06,0.158,0.706,119.838
Can I Touch You...There?,Michael Bolton,0.555,0.841,0,-6.704,1,0.351,0.281,0,0.244,0.802,82.871
Ain't Even Done With The Night,John Cougar Mellencamp,0.791,0.7,11,-6.96,1,0.0297,0.201,0.000312,0.0562,0.8,120.741
Shy Girl,Stacey Q,0.788,0.711,11,-9.564,1,0.0694,0.244,2.1e-06,0.223,0.13,113.048
You Can Run (But You Can't Hide),Jerry Butler,0.387,0.904,9,-5.568,0,0.0895,0.0484,0.00105,0.287,0.645,91.508
Hay,Crucial Conflict,0.527,0.922,9,-2.666,0,0.0728,0.00475,0.000162,0.422,0.49,95.975
On The Beach (In The Summertime),The 5th Dimension,0.635,0.867,7,-4.101,1,0.0563,0.0477,0,0.325,0.381,95.983
Nick Teen And Al K. Hall,Rolf Harris,0.836,0.501,7,-12.731,1,0.429,0.652,0,0.116,0.771,104.275
Seasons Of Gold,Gidea Park featuring Adrian Baker,0.293,0.209,9,-14.614,0,0.0473,0.974,0.145,0.104,0.102,180.26
Do The Bird,Dee Dee Sharp,0.641,0.673,2,-5.42,1,0.0407,0.215,0,0.0469,0.929,79.224
Heart Of Stone,Cher,0.513,0.426,5,-8.14,1,0.03,0.452,0,0.115,0.101,115.196
John Doe,Public Announcement Featuring LeLe,0.487,0.771,5,-6.042,1,0.0474,0.00817,0,0.108,0.198,76.77
Love That Really Counts,Natural Four,0.602,0.413,8,-15.782,1,0.037,0.157,0,0.0829,0.645,92.557
Susie-Q,Jose Feliciano,0.65,0.556,9,-13.587,0,0.0378,0.112,0.000637,0.109,0.95,128.241
You're My Remedy,The Marvelettes,0.654,0.56,4,-9.363,0,0.102,0.213,0,0.128,0.282,74.985
Surrender To Me,Ann Wilson And Robin Zander,0.624,0.672,0,-11.108,1,0.0321,0.0191,0.511,0.06,0.925,108.746
Last Night,Diddy Featuring Keyshia Cole,0.646,0.816,6,-2.65,1,0.0269,0.00496,0,0.179,0.865,102.972
"4, 5, 6",Sole Featuring JT Money & Kandi,0.816,0.654,11,-3.596,0,0.0893,0.0492,0,0.0435,0.775,79.974
Paint Me A Birmingham,Tracy Lawrence,0.545,0.428,6,-9.388,1,0.0279,0.319,0,0.114,0.335,131.784
How Can I Forget,Marvin Gaye,0.796,0.53,8,-5.967,1,0.0558,0.69,0,0.0646,0.754,105.031
Love Makes Things Happen,Pebbles,0.664,0.497,8,-11.975,0,0.0344,0.302,0,0.0631,0.645,149.996
Too Late To Say Goodbye,Richard Marx,0.482,0.55,4,-7.098,0,0.0356,0.135,0,0.294,0.105,67.559
Can't You Find Another Way (Of Doing It),Sam & Dave,0.773,0.657,0,-9.578,1,0.0342,0.445,0.0024,0.0976,0.901,111.226
It's My Turn,Diana Ross,0.623,0.772,4,-5.359,0,0.0606,0.0134,0,0.069,0.502,98.055
Mockingbird,Carly Simon And James Taylor,0.637,0.678,0,-3.798,1,0.266,0.209,0,0.156,0.254,84.039
Irreplaceable,Beyonce,0.447,0.694,7,-4.637,0,0.382,0.0293,5.46e-06,0.167,0.509,175.868
Rock Me Tonite,Billy Squier,0.472,0.724,9,-5.061,0,0.0522,0.0987,0,0.239,0.673,127.36
"No, No, No",The Chanters,0.524,0.511,7,-8.666,0,0.417,0.131,0,0.082,0.524,81.328
Hi-Heel Sneakers,Jose Feliciano,0.593,0.521,5,-7.736,1,0.0497,0.549,0.000409,0.0565,0.761,81.415
Walk Away,Donna Summer,0.641,0.373,1,-14.13,1,0.44,0.761,0,0.0993,0.282,100.268
Living For The City,Stevie Wonder,0.708,0.538,11,-10.28,1,0.0686,0.256,0,0.193,0.651,98.233
She's So Cold,The Rolling Stones,0.756,0.843,0,-5.315,1,0.0476,0.4,0.0104,0.0654,0.841,139.51
Hit That,The Offspring,0.704,0.809,4,-3.045,1,0.0321,0.0233,0,0.0596,0.962,131.952
Midnight Wind,John Stewart,0.641,0.485,2,-12.614,0,0.028,0.00863,0.0752,0.154,0.519,99.748
I Don't Want To Do Wrong,Gladys Knight & The Pips,0.546,0.416,10,-7.828,1,0.0702,0.755,0.00841,0.68,0.308,126.919
Happy Summer Days,Ronnie Dove,0.804,0.651,3,-6.142,1,0.0382,0.632,6.98e-05,0.174,0.961,103.014
Communication Breakdown,Roy Orbison,0.375,0.956,2,-7.078,1,0.175,0.144,7.6e-06,0.417,0.381,175.04
Use Ta Be My Girl,The O'Jays,0.65,0.614,1,-7.367,1,0.0522,0.528,0,0.167,0.872,111.477
Let The Heartaches Begin,Long John Baldry,0.458,0.724,9,-8.547,1,0.0297,0.0674,2.08e-06,0.323,0.505,90.509
If Nobody Believed In You,Joe Nichols,0.679,0.316,6,-11.327,1,0.031,0.625,4.85e-05,0.109,0.273,127.968
Three Nights A Week,Fats Domino,0.52,0.3,5,-13.283,1,0.0361,0.45,3.12e-06,0.105,0.785,72.528
All My Life,Kenny Rogers,0.577,0.604,5,-5.703,1,0.0495,0.000218,0.000579,0.477,0.637,167.719
I Cry Just A Little Bit,Shakin  Stevens,0.798,0.747,11,-5.034,1,0.0485,0.139,0,0.0962,0.749,124.286
This Diamond Ring,Gary Lewis & The Playboys,0.645,0.649,10,-8.345,0,0.031,0.253,0,0.107,0.567,133.652
No Air,Glee Cast,0.466,0.759,8,-4.978,0,0.199,0.0521,0,0.0587,0.328,160.033
"Sunshine, Lollipops And Rainbows",Lesley Gore,0.675,0.64,7,-8.742,1,0.0544,0.652,0,0.461,0.965,119.7
I Wanna Rock,Snoop Dogg,0.504,0.911,2,-2.97,1,0.0738,0.00512,0.0123,0.355,0.671,106.244
Spinning Around (I Must Be Falling In Love),The Main Ingredient,0.235,0.379,2,-12.922,1,0.0291,0.856,0.0188,0.44,0.469,140.391
Killa,Cherish Featuring Yung Joc,0.676,0.787,0,-6.175,0,0.246,0.199,0,0.175,0.601,119.986
Red Sails In The Sunset,Fats Domino,0.538,0.0727,5,-21.014,1,0.0444,0.964,0.855,0.119,0.285,112.619
Almost Home,Craig Morgan,0.525,0.481,8,-6.715,1,0.0251,0.302,0,0.121,0.237,75.974
"Girl, I ve Been Hurt",Snow,0.668,0.649,1,-11.821,0,0.0373,0.000272,0,0.0789,0.471,90.95
Wang Dang Doodle,Pointer Sisters,0.648,0.544,1,-8.963,1,0.179,0.343,2.93e-06,0.087,0.619,153.063
Surfin,The Beach Boys,0.55,0.854,3,-5.968,1,0.036,0.661,0,0.112,0.965,159.231
Lucille,Kenny Rogers,0.646,0.362,5,-11.954,1,0.0312,0.724,0,0.134,0.387,142.46
Sex As A Weapon,Pat Benatar,0.565,0.771,4,-11.412,0,0.0318,0.0137,0.106,0.324,0.574,126.182
A Boy Named Sue,Johnny Cash,0.63,0.489,10,-12.144,1,0.18,0.77,0,0.381,0.796,101.876
Stealin',Uriah Heep,0.486,0.394,8,-8.728,1,0.0305,0.454,1.62e-05,0.122,0.32,69.467
Getting Mighty Crowded,Betty Everett,0.598,0.472,5,-11.217,1,0.0471,0.884,0.000493,0.247,0.811,124.229
If Only I Had My Mind On Something Else,Bee Gees,0.333,0.372,2,-13.418,1,0.0305,0.22,1.34e-06,0.118,0.595,142.732
P.T. 109,Jimmy Dean,0.746,0.666,2,-10.408,1,0.146,0.543,0,0.0488,0.84,94.024
Have You Never Been Mellow,Olivia Newton-John,0.542,0.323,0,-14.073,1,0.033,0.565,2.31e-06,0.0876,0.433,121.802
Let Love Rule,Lenny Kravitz,0.689,0.452,0,-12.927,1,0.0407,0.0293,0.26,0.0672,0.696,152.814
Come On Over,Olivia Newton-John,0.829,0.915,8,-3.205,1,0.106,0.226,1.25e-05,0.246,0.779,118.903
I'm A Fool,"Dino, Desi & Billy",0.386,0.075,5,-14.124,0,0.0348,0.985,0.904,0.0869,0.23,96.76
(She's) Sexy + 17,Stray Cats,0.525,0.931,9,-5.593,1,0.0583,0.00831,0,0.106,0.75,89.9
Thank God And Greyhound,Roy Clark,0.464,0.359,10,-12.938,1,0.029,0.563,0,0.0814,0.603,88.221
Last Date,Floyd Cramer,0.296,0.287,0,-13.01,1,0.0345,0.701,0.00121,0.153,0.716,205.4
Almost Saturday Night,John Fogerty,0.61,0.687,2,-11.701,1,0.0423,0.246,2.51e-05,0.282,0.737,128.839
Don't Let Go,Wang Chung,0.618,0.688,5,-5.867,0,0.0477,0.409,6.32e-06,0.3,0.561,78.311
I'm A Man,The Yardbirds,0.557,0.859,9,-8.842,1,0.0662,0.159,0,0.117,0.678,128.641
Spy In The House Of Love,Was (Not Was),0.742,0.724,5,-12.378,1,0.0291,0.173,4.97e-05,0.128,0.96,117.947
Mamma Mia,ABBA,0.749,0.748,2,-7.011,1,0.0323,0.295,0.000443,0.469,0.827,137.547
Feelin' Stronger Every Day,Chicago,0.375,0.878,0,-6.099,1,0.0649,0.00946,0.0091,0.279,0.667,159.833
Is It Wrong (For Loving You),Webb Pierce,0.659,0.414,8,-10.84,1,0.029,0.843,0.235,0.105,0.852,94.223
Goodnight My Love,Paul Anka,0.288,0.0447,2,-28.441,1,0.0562,0.993,0.909,0.1,0.074,138.892
Get Ur Freak On,"Missy ""Misdemeanor"" Elliott",0.797,0.75,0,-9.369,1,0.247,0.533,0.108,0.095,0.74,177.87
The Impossible Dream,Roger Williams,0.442,0.371,11,-9.759,1,0.0282,0.868,0,0.0733,0.38,93.039
Over And Over,The Delfonics,0.644,0.517,7,-10.02,1,0.0803,0.0065,1.37e-06,0.158,0.464,169.799
Love Is Blue,Al Martino,0.31,0.205,0,-13.525,1,0.0301,0.73,0.82,0.325,0.241,93.529
Come And Get Your Love,The Real McCoy,0.731,0.804,11,-7.621,0,0.0473,0.172,0.00028,0.0685,0.957,107.383
Ain't Gonna Kiss Ya,The Ribbons,0.462,0.958,9,-5.588,1,0.0974,0.428,0,0.244,0.819,161.951
The Way,Jill Scott,0.703,0.757,1,-3.612,1,0.05,0.617,0,0.106,0.696,82.008
Lodi,Creedence Clearwater Revival,0.773,0.675,5,-8.697,1,0.0281,0.324,0.000112,0.0896,0.925,126.866
Saint Of Me,The Rolling Stones,0.671,0.918,10,-5.775,1,0.0504,0.0049,0.0443,0.0895,0.494,121.541
Hero/Heroine,Boys Like Girls,0.422,0.904,0,-4.531,1,0.102,0.02,4.49e-06,0.686,0.32,163.929
Got A Love For You,Jomanda,0.708,0.604,6,-13.591,0,0.0437,4.18e-05,0.639,0.0489,0.632,119.9
Ain t Nobody,Rufus And Chaka Khan,0.696,0.57,0,-9.084,1,0.557,0.673,3.02e-06,0.098,0.329,76.976
Travelin' Band,Creedence Clearwater Revival,0.513,0.92,6,-6.664,1,0.0511,0.0166,0.0282,0.178,0.963,166.186
Ten Little Indians,The Beach Boys,0.512,0.558,2,-7.165,1,0.0459,0.655,0,0.134,0.531,140.128
Lonely Is The Name,"Sammy Davis, Jr.",0.43,0.743,8,-8.079,0,0.03,0.000402,0.146,0.0774,0.51,110.481
3rd Man Theme,Herb Alpert,0.554,0.677,4,-10.831,0,0.0722,0.426,0.963,0.184,0.768,153.175
She'll Be There,Vikki Carr,0.471,0.227,11,-14.593,1,0.0356,0.376,1.98e-05,0.251,0.33,96.744
Scent Of Attraction,Patra Duet With Aaron Hall,0.655,0.78,11,-5.013,0,0.155,0.284,0,0.381,0.724,82.988
You're The One For Me,Joe Simon,0.7,0.573,3,-8.064,1,0.0358,0.243,0.729,0.202,0.241,107.009
Get Up And Get Down,The Dramatics,0.586,0.59,1,-15.898,0,0.0785,0.206,0,0.104,0.761,100.268
Jack-Ass,Beck,0.714,0.555,2,-6.664,1,0.0287,0.163,0,0.0942,0.831,106.516
Never Let Me Down Again,Depeche Mode,0.581,0.886,0,-6.505,1,0.0324,0.279,0.0297,0.691,0.586,106.067
Just Stand Up!,Artists Stand Up To Cancer,0.56,0.958,0,-1.119,1,0.0792,0.174,0,0.705,0.599,176.524
You'll Always Be Loved By Me,Brooks & Dunn,0.671,0.658,2,-6.563,1,0.0258,0.198,2.48e-05,0.297,0.568,103.122
Honey Love,Narvel Felts,0.67,0.518,4,-8.887,1,0.0443,0.132,0,0.108,0.53,71.017
Strange,Patsy Cline,0.286,0.0847,2,-9.883,1,0.0397,0.934,6.94e-06,0.121,0.112,70.743
Take A Bow,Glee Cast,0.697,0.467,9,-7.536,1,0.0715,0.248,0,0.0941,0.572,82.082
You'll Always Be The One I Love,Dean Martin,0.416,0.336,5,-14.243,1,0.0311,0.731,0,0.449,0.549,124.444
The Rose,Bette Midler,0.437,0.372,5,-9.0,1,0.0373,0.784,0,0.107,0.439,141.786
Same Ole Love (365 Days A Year),Anita Baker,0.535,0.619,3,-13.602,1,0.0472,0.0651,5.99e-05,0.0475,0.735,192.881
Break It Off,Rihanna & Sean Paul,0.552,0.904,11,-4.891,0,0.114,0.0027,8.85e-06,0.0786,0.746,171.788
Red Light,Linda Clifford,0.933,0.656,2,-5.85,1,0.322,0.129,0,0.161,0.934,119.987
We Can Work It Out,Stevie Wonder,0.608,0.534,8,-11.541,1,0.0339,0.135,0,0.064,0.796,105.388
I Melt With You,Modern English,0.541,0.81,0,-11.745,1,0.0367,0.000975,0.00158,0.0681,0.647,155.582
Son Of Sagittarius,Eddie Kendricks,0.672,0.648,1,-11.05,1,0.0282,0.485,0.000321,0.199,0.895,111.552
Can The Can,Suzi Quatro,0.646,0.831,10,-6.011,0,0.16,0.017,0.91,0.422,0.593,133.431
Your Sweetness Is My Weakness,Barry White,0.681,0.732,9,-11.718,1,0.0461,0.0377,0.0395,0.0955,0.755,119.175
Hitchcock Railway,Jose Feliciano,0.431,0.716,11,-10.94,1,0.0371,0.344,6.65e-06,0.237,0.802,120.622
Like Strangers,The Everly Brothers,0.633,0.242,3,-8.523,0,0.0761,0.515,0,0.0839,0.694,98.219
Molly (Sixteen Candles),Sponge,0.504,0.775,1,-7.844,1,0.0331,0.0614,2.26e-05,0.307,0.842,101.827
Life Gets Better,Graham Parker,0.622,0.581,7,-8.17,0,0.247,0.822,0,0.0757,0.618,75.822
Rise,Herb Alpert,0.483,0.129,5,-20.149,0,0.0349,0.947,0.145,0.106,0.203,137.35
Sound And Vision,David Bowie,0.667,0.804,2,-8.583,1,0.0398,0.0328,0.0544,0.0632,0.759,105.797
He Called Me Baby,Ella Washington,0.63,0.376,3,-13.305,1,0.0304,0.563,0,0.148,0.815,94.057
I Don t Want To Miss A Thing,Mark Chesnutt,0.39,0.649,2,-5.163,1,0.0345,0.172,0,0.216,0.144,121.16
Sugar And Spice,The Searchers,0.667,0.6,2,-4.02,1,0.0656,0.3,4.37e-05,0.423,0.841,151.964
I Love You/You Bring Me Joy,Mary J. Blige,0.623,0.734,11,-9.978,0,0.0346,0.812,0.849,0.23,0.194,130.058
Stimulation,Wa Wa Nee,0.812,0.86,7,-6.206,1,0.158,0.000617,0.573,0.169,0.695,128.998
Sunday Sunrise,Anne Murray,0.628,0.00458,7,-30.717,0,0.223,0.954,0.864,0.0756,0.443,128.666
If Ever You re In My Arms Again,Peabo Bryson,0.599,0.442,3,-9.755,0,0.0239,0.667,0,0.143,0.415,96.213
Send It On,Disney's Friends For Change,0.788,0.258,5,-11.758,1,0.104,0.171,0.00721,0.326,0.335,127.492
On ,Erykah Badu,0.687,0.781,1,-4.806,1,0.053,0.0361,0,0.0755,0.688,97.014
Bad Boy,Ray Parker Jr.,0.697,0.674,1,-6.326,1,0.0533,0.00215,0,0.138,0.198,81.535
A Good Heart,Feargal Sharkey,0.653,0.884,10,-10.224,1,0.0444,0.417,0,0.318,0.762,104.647
I Can Do That,Montell Jordan,0.629,0.41,3,-7.195,1,0.0721,0.575,0,0.0864,0.614,107.019
Was It Good To You,The Isley Brothers,0.715,0.696,3,-10.927,1,0.0315,0.188,0.00173,0.126,0.914,111.272
Can't Shake Loose,Agnetha Faltskog,0.778,0.484,9,-13.693,0,0.0352,0.00641,0.0071,0.0716,0.916,125.175
If You Don't Want My Love,Robert John,0.487,0.187,1,-16.071,1,0.0339,0.406,0.00151,0.0787,0.313,59.744
Shout,Lulu,0.773,0.747,5,-4.061,1,0.0885,0.0242,8.99e-06,0.109,0.801,126.014
Come Along,Maurice Williams & The Zodiacs,0.649,0.699,0,-5.531,0,0.0846,0.76,0.00474,0.208,0.309,97.967
No One In The World,Anita Baker,0.595,0.557,10,-8.305,1,0.0253,0.543,0,0.176,0.415,90.177
Summer Breeze (Part 1),The Isley Brothers,0.517,0.154,5,-24.828,0,0.0439,0.931,0.419,0.0893,0.488,81.436
The Doctor,Mary Wells,0.604,0.283,9,-7.36,1,0.0358,0.758,0,0.102,0.173,82.982
Take Me To Heart,Quarterflash,0.689,0.497,2,-14.377,1,0.0319,0.263,5.6e-06,0.218,0.639,114.034
Georgia Pines,The Candymen,0.552,0.599,7,-7.863,1,0.0252,0.484,0.119,0.0876,0.656,104.304
World In My Eyes,Depeche Mode,0.66,0.881,10,-7.802,0,0.0417,0.00746,0.827,0.0514,0.952,122.243
Leave Me Alone,Baby Washington,0.792,0.743,7,-2.806,1,0.0851,0.107,0,0.183,0.742,150.024
"Love Theme From ""The Sandpiper"" (The Shadow Of Your Smile)",Tony Bennett,0.306,0.098,7,-17.247,1,0.032,0.941,0.0508,0.0974,0.0966,110.333
Angelia,Richard Marx,0.54,0.64,8,-8.557,1,0.0251,0.114,0.000685,0.245,0.523,97.033
It Keeps You Runnin',Carly Simon,0.786,0.46,7,-10.701,1,0.0303,0.334,3.62e-06,0.041,0.861,132.503
Modern Love,David Bowie,0.358,0.938,0,-5.577,1,0.0483,0.00375,9.2e-06,0.117,0.944,182.836
Mr. Bojangles,Nitty Gritty Dirt Band,0.444,0.757,11,-6.884,0,0.0541,0.699,0,0.329,0.554,154.26
Falling To Pieces,Faith No More,0.545,0.919,2,-7.679,1,0.0484,0.00272,0.00511,0.0977,0.387,104.366
Piece Of Me,Britney Spears,0.769,0.638,11,-5.054,1,0.216,0.0902,0,0.0857,0.782,115.007
Please Mr. Sun,The Vogues,0.472,0.4,0,-10.145,0,0.0388,0.698,0,0.344,0.425,115.822
Don t Walk Away,Toni Childs,0.831,0.915,10,-7.501,0,0.128,0.147,0.00571,0.196,0.881,102.979
Ridin' My Thumb To Mexico,Johnny Rodriguez,0.62,0.214,1,-14.646,1,0.0304,0.97,1.69e-05,0.169,0.654,90.151
Going To A Go-Go,The Rolling Stones,0.615,0.721,7,-9.703,1,0.0328,0.484,0,0.128,0.967,129.596
Axel F,Harold Faltermeyer,0.86,0.907,2,-3.321,1,0.0407,0.279,0.693,0.0648,0.786,138.045
What U Gon' Do,Lil Jon & The East Side Boyz Featuring Lil Scrappy,0.838,0.724,1,-6.9,0,0.242,7.68e-05,1.02e-06,0.162,0.537,150.192
I Kinda Miss You,The Manhattans,0.59,0.686,7,-6.972,0,0.0473,0.00868,1.54e-06,0.11,0.268,119.964
He's Mine,Mokenstef,0.384,0.887,6,-3.806,1,0.0653,0.0425,0,0.117,0.676,72.816
Shuttin' Detroit Down,John Rich,0.515,0.759,7,-2.502,1,0.0304,0.285,0,0.242,0.579,167.875
Right Away,Kansas,0.628,0.824,11,-3.881,1,0.0416,0.379,0,0.155,0.561,119.989
Drift & Die,Puddle Of Mudd,0.52,0.464,7,-10.658,1,0.0268,0.732,0.897,0.187,0.146,109.004
Elevate My Mind,Stereo MC s,0.845,0.591,9,-14.87,1,0.0627,0.137,0.65,0.129,0.765,115.139
Don't Worry,Marty Robbins,0.675,0.166,11,-22.602,1,0.171,0.88,7.14e-05,0.0461,0.747,68.837
Right Now (Na Na Na),Akon,0.832,0.87,8,-4.2,0,0.167,0.267,0,0.412,0.566,138.003
Mint Car,The Cure,0.602,0.945,2,-3.293,1,0.0623,0.0663,0,0.386,0.761,143.844
Stand,Poison,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07e-06,0.0707,0.605,118.068
The Road We Didn't Take,Freda Payne,0.587,0.439,4,-9.155,1,0.025,0.777,0,0.135,0.296,93.082
I Love You,The Volume's,0.575,0.648,10,-4.891,1,0.0358,0.583,0,0.115,0.466,75.977
Scotch On The Rocks,The Band Of The Black Watch,0.619,0.72,7,-8.249,1,0.0377,0.832,0.000981,0.162,0.929,116.784
When I Fall In Love,The Lettermen,0.154,0.215,1,-15.413,1,0.0346,0.676,0.00146,0.112,0.115,166.209
Who Is Gonna Love Me?,Dionne Warwick,0.516,0.622,6,-5.659,0,0.0473,0.279,0,0.0781,0.675,188.023
You Always Hurt Me,The Impressions,0.662,0.61,8,-6.522,1,0.224,0.0395,0.000129,0.196,0.854,179.548
Amor,Roger Williams,0.587,0.411,8,-8.758,1,0.0475,0.185,0,0.273,0.53,140.277
Once You Get Started,Chaka Khan,0.621,0.769,5,-8.696,0,0.0547,0.0845,0.000317,0.0369,0.856,121.17
-twistin'-White Silver Sands,Bill Black's Combo,0.433,0.465,3,-10.427,1,0.0253,0.512,0.285,0.258,0.75,83.757
Ain't Nobody Home,Howard Tate,0.729,0.739,1,-8.7,1,0.0309,0.131,4.4e-05,0.0423,0.937,92.536
Who Knew,Pink,0.688,0.734,9,-4.569,1,0.0274,0.00462,0,0.0756,0.46,140.004
Special,Garbage,0.799,0.596,11,-7.216,1,0.302,0.0225,0,0.077,0.299,76.009
Blowing Away,The 5th Dimension,0.53,0.664,0,-5.791,1,0.0316,0.329,0,0.157,0.846,118.93
Don't Let Him Go,REO Speedwagon,0.497,0.961,7,-5.774,1,0.0691,0.246,0.00125,0.129,0.675,105.593
Look At That Cadillac,Stray Cats,0.507,0.613,9,-10.629,1,0.033,0.107,0,0.355,0.799,143.032
Get Up Offa That Thing,James Brown,0.835,0.737,4,-9.907,0,0.357,0.265,0,0.569,0.694,118.841
Shackles (Praise You),Mary Mary,0.779,0.834,7,-2.773,1,0.162,0.0343,0,0.0886,0.8,100.46
Artificial Flowers,Bobby Darin,0.766,0.378,6,-11.324,0,0.0358,0.915,0.96,0.0853,0.112,100.029
A Lover's Concerto,Mrs. Miller,0.675,0.74,2,-5.551,1,0.052,0.633,0,0.149,0.836,123.651
Colour Of My Love,Jefferson,0.282,0.255,1,-10.293,1,0.0295,0.608,0.00615,0.0953,0.0416,99.134
Freedom,Paul McCartney,0.563,0.847,1,-4.493,1,0.0468,0.0891,0,0.121,0.666,96.06
Higher Love,Steve Winwood,0.693,0.678,8,-7.159,1,0.0324,0.0151,5.71e-06,0.101,0.404,103.952
Mainstreet,Bob Seger,0.505,0.747,8,-5.422,1,0.0308,0.064,0.00647,0.244,0.529,139.865
I Gotcha,Joe Tex,0.632,0.731,1,-4.191,1,0.262,0.0826,0,0.0514,0.785,89.483
"Bill Bailey, Won't You Please Come Home",Ella Fitzgerald,0.604,0.541,5,-8.676,0,0.0634,0.371,0,0.808,0.744,132.284
She Only Smokes When She Drinks,Joe Nichols,0.639,0.457,4,-7.749,1,0.029,0.0805,0.000147,0.114,0.199,77.976
Air Force Ones,"Nelly Featuring Kyjuan, Ali & Murphy Lee",0.784,0.459,4,-9.74,0,0.317,0.0847,0,0.079,0.618,164.062
Keep Your Mind Wide Open,AnnaSophia Robb,0.559,0.562,9,-9.735,1,0.0274,0.00655,0,0.0863,0.633,111.383
Boom Boom,The Animals,0.866,0.857,9,-5.894,1,0.0664,0.13,0.0017,0.13,0.408,130.049
Hate It Or Love It,The Game ft 50 Cent,0.802,0.785,9,-4.781,1,0.207,0.14,0,0.123,0.435,99.998
All She Wants Is,Duran Duran,0.536,0.619,7,-7.708,0,0.0398,0.0911,8.85e-06,0.101,0.393,120.036
Pictures Of You,The Cure,0.484,0.776,9,-6.48,1,0.0312,0.00371,0.109,0.131,0.495,171.935
Can't Say Nothin',Curtis Mayfield,0.758,0.606,1,-13.359,1,0.0514,0.279,0.425,0.0337,0.944,81.043
Got To Love Somebody,Sister Sledge,0.739,0.896,7,-5.549,1,0.111,0.142,0,0.0614,0.854,124.011
Do You Believe In Us,Jon Secada,0.662,0.891,3,-7.245,1,0.0349,0.0103,3.64e-06,0.634,0.743,107.75
Another Puff,Jerry Reed,0.726,0.441,0,-16.405,1,0.0945,0.955,0.2,0.096,0.685,86.717
(Pride) In The Name Of Love,U2,0.458,0.843,4,-7.201,1,0.0316,0.00135,0.000296,0.778,0.713,105.701
Wasted Days And Wasted Nights,Freddy Fender,0.628,0.479,4,-7.562,1,0.0283,0.559,8.69e-05,0.201,0.85,87.587
We Go Together,Jan & Dean,0.642,0.791,5,-6.782,1,0.0503,0.00604,2.85e-06,0.442,0.937,111.031
A Mother For My Children,The Whispers,0.421,0.72,3,-9.071,1,0.217,0.11,5.85e-05,0.0557,0.787,197.535
Repetition,Information Society,0.528,0.564,0,-8.26,0,0.137,0.176,6.29e-06,0.336,0.488,123.661
When You're In Love With A Beautiful Woman,Dr. Hook,0.679,0.728,8,-9.539,1,0.0378,0.405,0.00261,0.0506,0.852,109.623
Love Hurts,Nazareth,0.724,0.45,4,-5.763,0,0.0497,0.0315,1.42e-05,0.111,0.464,140.978
Big Talk,Warrant,0.901,0.379,5,-8.861,0,0.229,0.324,0,0.158,0.627,126.974
